GOid	Genes
GO:1905244	['AGAP1', 'EGLN1']
GO:0050807	['AGAP1', 'ARHGEF15', 'CC2D1A', 'CDH2', 'CHD4', 'DLG5', 'DOCK4', 'EGLN1', 'EPHB3', 'FARP1', 'MUSK', 'SNCA', 'VLDLR']
GO:0032675	['AGER', 'AIF1', 'CYBA', 'IFIH1', 'MAVS', 'NOD1', 'PTPN22', 'TLR6']
GO:0098657	['AGER', 'ANXA1', 'CLEC4F', 'EIF2AK1', 'EZR', 'FCER2', 'FKBP15', 'GAK', 'HFE', 'ITGB3', 'ITSN2', 'LRRC8C', 'MST1R', 'MTMR6', 'MYO7A', 'PLA2R1', 'RIN3', 'SIGLEC1', 'SLC12A7', 'SLC18B1', 'SLC24A1', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC8A2', 'SNCA', 'STAB2', 'STON2', 'TRPM1', 'VLDLR']
GO:0048167	['AGER', 'EIF2AK4', 'SLC24A1', 'SLC8A2', 'SNCA', 'SORCS2']
GO:0032101	['AGER', 'AIF1', 'ANXA1', 'BACE1', 'BST1', 'C3', 'CASP5', 'CASR', 'CCR6', 'CD300E', 'CLNK', 'CYBA', 'DDX60', 'EIF2AK4', 'ERAP1', 'FAM76B', 'GIT1', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'IL34', 'KLKB1', 'LACC1', 'LILRA4', 'LRCH4', 'LTF', 'MAVS', 'MCPH1', 'NCR1', 'NCR3', 'NOD1', 'PADI2', 'PARP1', 'PARP14', 'PBK', 'PML', 'PRKDC', 'PTPN22', 'RIN3', 'SELE', 'SHARPIN', 'SLIT2', 'SMPDL3B', 'SNCA', 'SPHK1', 'SPINK5', 'ST3GAL4', 'STAT1', 'TEK', 'TLR6', 'TNFSF14', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'TRIM41', 'TTLL12', 'WNK1', 'ZC3HAV1', 'ZDHHC4']
GO:0046328	['AGER', 'CD27', 'NOD1', 'PTPN22', 'SH3RF2', 'TAOK3', 'UNC5CL']
GO:0010629	['AGER', 'ANXA1', 'ATG9A', 'CNOT2', 'CPEB4', 'DCAF12', 'DIS3L', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'ELOB', 'EZR', 'GIT1', 'H1-2', 'HDAC7', 'HFE', 'HHEX', 'LBR', 'LILRA4', 'LTF', 'MLH1', 'MYC', 'PELO', 'PML', 'PTPN22', 'SIGLEC1', 'SLFN14', 'SMARCAD1', 'SMG6', 'SNIP1', 'SPINK5', 'TASOR2', 'TLR6', 'TSPO', 'XAF1']
GO:0050927	['AGER']
GO:0009757	['AGER']
GO:2001198	['AGER']
GO:0071637	['AGER']
GO:0032722	['AGER', 'MAVS']
GO:0032652	['AGER', 'GIT1', 'NOD1', 'PANX1', 'PML', 'SPHK1', 'TLR6']
GO:0050920	['AGER', 'AIF1', 'BST1', 'CASR', 'CCR6', 'IL34', 'PADI2', 'RIN3', 'SLIT2', 'TNFSF14', 'WNK1']
GO:1903706	['AGER', 'ANXA1', 'CD27', 'FBXO7', 'HLX', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'LTF', 'MITF', 'MMP14', 'MYC', 'PRKDC', 'RAG1', 'SLC4A2', 'SPINK5', 'STAT1']
GO:0071675	['AGER', 'AIF1', 'CCR6', 'DOCK8', 'IL34', 'ITGB3', 'MMP14', 'PADI2', 'SLIT2', 'TNFSF14', 'WNK1']
GO:1903708	['AGER', 'ANXA1', 'CD27', 'HLX', 'IL12RB1', 'IL34', 'IL4R', 'MMP14', 'PRKDC', 'RAG1']
GO:0006275	['AGER', 'ATAD5', 'ATR', 'GLI1', 'STN1', 'TICRR']
GO:0051052	['AGER', 'ATAD5', 'ATR', 'BRD8', 'EHMT2', 'ERCC2', 'FGFR4', 'FOXM1', 'GLI1', 'H1-2', 'H1-6', 'ID3', 'MLH1', 'MYC', 'PARP1', 'PML', 'PRKDC', 'RTEL1', 'SLF1', 'SMARCAD1', 'SMG6', 'STN1', 'TICRR', 'UBQLN4']
GO:0050670	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'DLG5', 'FLT3LG', 'HHLA2', 'IL12RB1', 'IL27', 'PTPN22', 'SLC4A2', 'ZNF335']
GO:1905203	['AGER']
GO:0006897	['AGER', 'ANXA1', 'EIF2AK1', 'EZR', 'FCER2', 'GAK', 'HFE', 'ITGB3', 'ITSN2', 'MST1R', 'MYO7A', 'PLA2R1', 'SIGLEC1', 'SNCA', 'STAB2', 'STON2', 'VLDLR']
GO:0070663	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'DLG5', 'FLT3LG', 'HHLA2', 'IL12RB1', 'IL27', 'IL34', 'PTPN22', 'SLC4A2', 'ZNF335']
GO:0002697	['AGER', 'ANXA1', 'ATAD5', 'ATG9A', 'C3', 'CLNK', 'DDX60', 'FBXO38', 'FCER2', 'HFE', 'HLX', 'IL12RB1', 'IL27', 'IL4R', 'LACC1', 'MAVS', 'MLH1', 'NCR1', 'NCR3', 'NOD1', 'PANX1', 'SPINK5']
GO:0061900	['AGER', 'AIF1', 'SNCA', 'TLR6']
GO:0001678	['AGER', 'CASR', 'CYBA', 'FUT1', 'GHRHR', 'SLC12A7']
GO:0001819	['AGER', 'AIF1', 'ANXA1', 'C3', 'CLNK', 'CYBA', 'EIF2AK2', 'IFIH1', 'IL12RB1', 'IL27', 'IL4R', 'LACC1', 'MAVS', 'NOD1', 'PANX1', 'PTPN22', 'SIGLEC1', 'SPHK1', 'STAT1', 'TLR6', 'TRAF3IP3', 'XAF1', 'ZC3HAV1']
GO:0050671	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'FLT3LG', 'HHLA2', 'IL12RB1']
GO:0050890	['AGER', 'DNAAF4', 'DNAH11', 'EIF2AK4', 'GIT1', 'HTT', 'ITGA8', 'MUSK', 'RAG1', 'SLC8A2', 'THRA', 'VLDLR']
GO:2000437	['AGER']
GO:0050863	['AGER', 'AIF1', 'ANXA1', 'CD27', 'DLG5', 'DOCK8', 'FBXO38', 'HFE', 'HHLA2', 'HLA-DMA', 'HLX', 'IL12RB1', 'IL27', 'IL4R', 'PTPN22', 'RAG1', 'SIRPG', 'SLC4A2', 'SPINK5', 'TNFSF14']
GO:1904470	['AGER']
GO:0002703	['AGER', 'ATAD5', 'C3', 'CLNK', 'FBXO38', 'FCER2', 'HFE', 'IL12RB1', 'IL4R', 'MAVS', 'MLH1', 'NCR1', 'NCR3']
GO:0032680	['AGER', 'CYBA', 'IFIH1', 'LILRA4', 'MAVS', 'NOD1', 'PTPN22', 'TLR6', 'TSPO']
GO:1903522	['AGER', 'CASR', 'DOCK4', 'DOCK5', 'KCNE4', 'MC3R', 'MEF2A', 'NOS1AP', 'SCN5A', 'SLC8A2', 'THRA']
GO:0050926	['AGER', 'CASR']
GO:0051090	['AGER', 'EIF2AK2', 'EIF2AK4', 'ID3', 'LTF', 'NOD1', 'PARP10', 'SPHK1']
GO:1900744	['AGER', 'EZR', 'PTPN22', 'RELL2', 'SPHK1']
GO:0033500	['AGER', 'CASR', 'CYBA', 'FBN3', 'FGFR4', 'FUT1', 'GCKR', 'GHRHR', 'HKDC1', 'SLC12A7']
GO:0001775	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'C3', 'CCR6', 'CD27', 'CFB', 'DCAF12', 'DGKH', 'DOCK8', 'EIF2AK4', 'EXO1', 'FBXO7', 'FCER2', 'FCRL5', 'FLT3', 'FLT3LG', 'GP6', 'HHEX', 'HLX', 'IFNK', 'IL12RB1', 'IL4R', 'ITGB3', 'MLH1', 'MYC', 'NCR1', 'NCR3', 'PRKDC', 'PTPN22', 'RAG1', 'SKAP2', 'SNCA', 'TLR6', 'TNFSF14', 'TRAF3IP2']
GO:0032732	['AGER', 'NOD1', 'PANX1', 'TLR6']
GO:1900452	['AGER']
GO:0080134	['AGER', 'ANXA1', 'ATAD5', 'ATR', 'BRD8', 'BST1', 'C3', 'CASP5', 'CCAR2', 'CD300E', 'CLNK', 'COPS3', 'CYBA', 'DDIAS', 'DDX60', 'EGLN1', 'EIF2AK2', 'EIF2AK4', 'ERAP1', 'ETAA1', 'FAM76B', 'FOXM1', 'GIT1', 'HIC1', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'KLKB1', 'LACC1', 'LILRA4', 'LRCH4', 'LTF', 'MAVS', 'MCPH1', 'MMP14', 'MYC', 'NCR1', 'NCR3', 'NOD1', 'OPRM1', 'PARP1', 'PARP14', 'PBK', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'RAG1', 'RFWD3', 'RTEL1', 'SELE', 'SESN1', 'SHARPIN', 'SLF1', 'SMPDL3B', 'SNCA', 'SPHK1', 'SPINK5', 'ST3GAL4', 'STAT1', 'TAOK3', 'TEK', 'TELO2', 'TLR6', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'TRIM41', 'TTLL12', 'UBQLN4', 'ZC3HAV1', 'ZDHHC4']
GO:0044093	['AGER', 'DOCK8', 'EIF2AK2', 'ETAA1', 'FGFR4', 'FLT3', 'HTT', 'LTF', 'MST1R', 'NOD1', 'ODAM', 'RALGAPA2', 'SGK2', 'SPHK1', 'TAOK3', 'TBC1D2', 'TLR6', 'XRCC4']
GO:0090304	['AGER', 'ATAD5', 'ATR', 'BRF1', 'BYSL', 'CCAR2', 'CCR6', 'CENPF', 'CHAF1A', 'CHD4', 'CNOT2', 'DALRD3', 'DHX37', 'DIDO1', 'DIS3L', 'ELOB', 'ERCC2', 'ETAA1', 'EXO1', 'FAN1', 'FBXO24', 'FOXM1', 'GATC', 'GEMIN5', 'GLIS3', 'GTF3C2', 'HEATR1', 'HNRNPH1', 'IFIH1', 'IHO1', 'IMP4', 'KRR1', 'LONP1', 'MAVS', 'MEF2A', 'MLH1', 'MPHOSPH6', 'MTF1', 'MYC', 'NME8', 'NOP2', 'PARP1', 'PARP10', 'PELO', 'POLI', 'POLR3E', 'PRIM1', 'PRKDC', 'RAG1', 'RFWD3', 'RPA1', 'RTEL1', 'SLF1', 'SLFN12', 'SLFN14', 'SMARCAD1', 'SMG6', 'SNIP1', 'SPHK1', 'STN1', 'TAF1B', 'TAOK3', 'TEAD4', 'THADA', 'THRA', 'TICRR', 'TOP1MT', 'TP53RK', 'TRIM25', 'TSEN54', 'UBQLN4', 'UTP6', 'VCP', 'WDR12', 'XRCC4']
GO:0070665	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'FLT3LG', 'HHLA2', 'IL12RB1', 'IL34', 'ZNF335']
GO:0001817	['AGER', 'AIF1', 'ANXA1', 'ATG9A', 'C3', 'CLNK', 'CYBA', 'EIF2AK2', 'EZR', 'GIT1', 'HDAC7', 'HFE', 'HHLA2', 'IFIH1', 'IL12RB1', 'IL27', 'IL4R', 'LACC1', 'LILRA4', 'LTF', 'MAST2', 'MAVS', 'NOD1', 'PANX1', 'PLA2R1', 'PML', 'PTPN22', 'SIGLEC1', 'SPHK1', 'STAT1', 'TLR6', 'TRAF3IP3', 'TSPO', 'XAF1', 'ZC3HAV1']
GO:1903557	['AGER', 'CYBA', 'IFIH1', 'MAVS', 'NOD1']
GO:0051091	['AGER', 'EIF2AK2', 'LTF', 'NOD1', 'SPHK1']
GO:0031347	['AGER', 'ANXA1', 'BST1', 'C3', 'CASP5', 'CD300E', 'CLNK', 'CYBA', 'DDX60', 'EIF2AK4', 'ERAP1', 'FAM76B', 'GIT1', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'KLKB1', 'LACC1', 'LILRA4', 'LRCH4', 'LTF', 'MAVS', 'MCPH1', 'NCR1', 'NCR3', 'NOD1', 'PARP1', 'PARP14', 'PBK', 'PML', 'PRKDC', 'PTPN22', 'RAG1', 'SELE', 'SHARPIN', 'SMPDL3B', 'SNCA', 'SPHK1', 'SPINK5', 'STAT1', 'TEK', 'TLR6', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'TRIM41', 'TTLL12', 'ZC3HAV1', 'ZDHHC4']
GO:0002709	['AGER', 'FBXO38', 'HFE', 'IL12RB1']
GO:0050870	['AGER', 'AIF1', 'ANXA1', 'CD27', 'DOCK8', 'HHLA2', 'HLX', 'IL12RB1', 'IL4R', 'RAG1', 'TNFSF14']
GO:0032653	['AGER']
GO:0002687	['AGER', 'AIF1', 'CCR6', 'DOCK8', 'IL34', 'ITGB3', 'MMP14', 'TNFSF14', 'WNK1']
GO:0010628	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'C3', 'CLNK', 'CTCFL', 'CYBA', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELOB', 'FAM76B', 'FASTKD3', 'HHLA2', 'IFIH1', 'IL12RB1', 'IL27', 'IL4R', 'KLKB1', 'LACC1', 'MAVS', 'MLH1', 'MMP14', 'NIBAN1', 'NOD1', 'PADI2', 'PANX1', 'PASK', 'PLA2R1', 'PPP1R15A', 'PRKDC', 'PTPN22', 'SIGLEC1', 'SPHK1', 'STAT1', 'TET1', 'TET2', 'TLR6', 'TRAF3IP2', 'TRAF3IP3', 'XAF1', 'ZC3HAV1']
GO:0032103	['AGER', 'AIF1', 'C3', 'CASP5', 'CASR', 'CCR6', 'CLNK', 'CYBA', 'DDX60', 'IFIH1', 'IFNK', 'IL34', 'LACC1', 'LRCH4', 'LTF', 'MAVS', 'NCR3', 'NOD1', 'PRKDC', 'PTPN22', 'SLIT2', 'SNCA', 'TLR6', 'TNFSF14', 'TRAF3IP3', 'TRIM25', 'TRIM41', 'WNK1', 'ZC3HAV1', 'ZDHHC4']
GO:0006355	['AGER', 'ARHGEF11', 'BRD8', 'CALCOCO1', 'CAMTA2', 'CASP7', 'CC2D1A', 'CCAR2', 'CENPF', 'CHD3', 'CHD4', 'CNOT2', 'CTCFL', 'DIDO1', 'DMRT3', 'EGLN1', 'EHMT2', 'EIF2AK2', 'EIF2AK4', 'ELF1', 'ERCC2', 'EZR', 'FOXM1', 'GLI1', 'GLIS3', 'H1-2', 'HDAC7', 'HEATR1', 'HHEX', 'HIC1', 'HLX', 'HR', 'ID3', 'ITGA8', 'KANSL1', 'LTF', 'MAF1', 'MAVS', 'MAX', 'MCPH1', 'MEF2A', 'MITF', 'MSANTD1', 'MTF1', 'MYBL2', 'MYC', 'NCOA3', 'NOD1', 'OVOL2', 'PARP1', 'PARP10', 'PARP14', 'PGBD1', 'PHIP', 'PML', 'PRKDC', 'REST', 'SEC14L2', 'SETDB2', 'SMARCAD1', 'SNCA', 'SP110', 'SPHK1', 'STAT1', 'STK36', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'THRA', 'TMPRSS6', 'TRIM25', 'WNK1', 'WWC2', 'ZBTB22', 'ZGLP1', 'ZHX3', 'ZKSCAN7', 'ZNF101', 'ZNF134', 'ZNF169', 'ZNF264', 'ZNF276', 'ZNF320', 'ZNF335', 'ZNF470', 'ZNF587B', 'ZNF732', 'ZNF749', 'ZSCAN32']
GO:0002269	['AGER', 'AIF1', 'SNCA', 'TLR6']
GO:0002682	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'ATG9A', 'BLVRA', 'BST1', 'BTNL8', 'C3', 'CCR6', 'CD27', 'CD300E', 'CD68', 'CFB', 'CFHR5', 'CLNK', 'CYBA', 'DDX60', 'DLG5', 'DOCK8', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ERAP1', 'EZR', 'FAM76B', 'FBXO38', 'FBXO7', 'FCER2', 'FLT3LG', 'GP6', 'HFE', 'HHLA2', 'HLA-DMA', 'HLX', 'IFIH1', 'IFNK', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGB3', 'LACC1', 'LILRA4', 'LRCH4', 'LTF', 'MAVS', 'MITF', 'MLH1', 'MMP14', 'MYC', 'NCR1', 'NCR3', 'NOD1', 'PADI2', 'PANX1', 'PARP1', 'PARP14', 'PRKDC', 'PTPN22', 'RAG1', 'RIN3', 'SAMSN1', 'SELE', 'SELP', 'SIRPG', 'SLC4A2', 'SLIT2', 'SMPDL3B', 'SNCA', 'SPHK1', 'SPINK5', 'ST3GAL4', 'STAT1', 'TLR6', 'TNFSF14', 'TRAF3IP3', 'TRIM25', 'TRIM41', 'TTLL12', 'UBASH3A', 'WNK1', 'ZC3HAV1', 'ZDHHC4', 'ZNF335']
GO:1902991	['AGER']
GO:0042116	['AGER', 'AIF1', 'SNCA', 'TLR6']
GO:0034284	['AGER', 'CASR', 'CYBA', 'EIF2B5', 'FUT1', 'GCKR', 'GHRHR', 'SLC12A7']
GO:0010557	['AGER', 'AIF1', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATP13A2', 'ATR', 'BRD8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASR', 'CHD3', 'CHD4', 'CLNK', 'CTCFL', 'CYBA', 'EGLN1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'EZR', 'FAM76B', 'FASTKD3', 'FCER2', 'FGFR4', 'FOXM1', 'GLI1', 'GLIS3', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'ID3', 'IFIH1', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLKB1', 'LACC1', 'MAVS', 'MAX', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'ODAM', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PASK', 'PHIP', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'REST', 'SEC14L2', 'SIGLEC1', 'SLC25A37', 'SMARCAD1', 'SPHK1', 'STAT1', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'WNK1', 'XAF1', 'ZC3HAV1', 'ZGLP1', 'ZNF335']
GO:0045739	['AGER', 'BRD8', 'FOXM1', 'PARP1', 'PRKDC', 'SLF1']
GO:0050867	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'CD27', 'DOCK8', 'FBXO38', 'FLT3LG', 'HHLA2', 'HLA-DMA', 'HLX', 'IL12RB1', 'IL4R', 'MLH1', 'MMP14', 'PRKDC', 'RAG1', 'SELP', 'SIRPG', 'TLR6', 'TNFSF14', 'ZNF335']
GO:0034104	['AGER']
GO:0006974	['AGER', 'ATAD5', 'ATR', 'BCL2L10', 'CHAF1A', 'CHD4', 'EIF2AK4', 'ERCC2', 'ETAA1', 'EXO1', 'FAN1', 'FOXM1', 'HIC1', 'MLH1', 'MYC', 'NEK11', 'PARP1', 'PARP10', 'PML', 'POLI', 'PRKDC', 'RFWD3', 'RPA1', 'RTEL1', 'SLF1', 'SMARCAD1', 'TAOK3', 'TICRR', 'UBQLN4', 'VCP', 'XRCC4']
GO:0009893	['AGER', 'AIF1', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATP13A2', 'ATR', 'BRD8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASR', 'CHD3', 'CHD4', 'CLNK', 'CTCFL', 'CUL1', 'CYBA', 'DCAF12', 'DERL1', 'EGLN1', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'ERCC2', 'ETAA1', 'EZR', 'FAM76B', 'FASTKD3', 'FBXO7', 'FCER2', 'FGFR4', 'FLT3', 'FOXM1', 'FUT1', 'GIT1', 'GLI1', 'GLIS3', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'HTT', 'ID3', 'IFIH1', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLHL40', 'KLKB1', 'LACC1', 'LTF', 'MAVS', 'MAX', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MST1R', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'ODAM', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PARP14', 'PASK', 'PHIP', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'REST', 'RTEL1', 'SCARB1', 'SEC14L2', 'SESN1', 'SH3RF2', 'SIGLEC1', 'SLC25A37', 'SLF1', 'SMARCAD1', 'SNCA', 'SPHK1', 'STAT1', 'STN1', 'TAOK3', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'TF', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'TSPO', 'VCP', 'WNK1', 'XAF1', 'ZC3HAV1', 'ZGLP1', 'ZNF335']
GO:0070372	['AGER', 'CASR', 'EZR', 'FGFR4', 'ITGB3', 'NOD1', 'OPRM1', 'PTPN22', 'SEMA6A', 'TEK']
GO:0009749	['AGER', 'CASR', 'CYBA', 'FUT1', 'GHRHR', 'SLC12A7']
GO:0010604	['AGER', 'AIF1', 'ANXA1', 'ARHGEF11', 'ATAD5', 'ATP13A2', 'ATR', 'BRD8', 'C3', 'CALCOCO1', 'CAMTA2', 'CASR', 'CHD3', 'CHD4', 'CLNK', 'CTCFL', 'CYBA', 'DCAF12', 'DERL1', 'EGLN1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'ERCC2', 'ETAA1', 'EZR', 'FAM76B', 'FASTKD3', 'FCER2', 'FGFR4', 'FLT3', 'FOXM1', 'GIT1', 'GLI1', 'GLIS3', 'HEATR1', 'HFE', 'HHEX', 'HHLA2', 'ID3', 'IFIH1', 'IL12RB1', 'IL27', 'IL34', 'IL4R', 'ITGA8', 'ITGB3', 'KANSL1', 'KLHL40', 'KLKB1', 'LACC1', 'LTF', 'MAVS', 'MAX', 'MEF2A', 'MITF', 'MLH1', 'MMP14', 'MSANTD1', 'MST1R', 'MTF1', 'MUSK', 'MYBL2', 'MYC', 'NCOA3', 'NIBAN1', 'NOD1', 'ODAM', 'OVOL2', 'PADI2', 'PANX1', 'PARP1', 'PARP14', 'PASK', 'PHIP', 'PLA2R1', 'PML', 'PPP1R15A', 'PRKDC', 'PTPN22', 'REST', 'RTEL1', 'SEC14L2', 'SH3RF2', 'SIGLEC1', 'SLC25A37', 'SLF1', 'SMARCAD1', 'SNCA', 'SPHK1', 'STAT1', 'STN1', 'TAOK3', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'TF', 'THRA', 'TLR6', 'TMPRSS6', 'TRAF3IP2', 'TRAF3IP3', 'TRIM25', 'VCP', 'WNK1', 'XAF1', 'ZC3HAV1', 'ZGLP1', 'ZNF335']
GO:0032651	['AGER', 'GIT1', 'NOD1', 'PANX1', 'PML', 'TLR6']
GO:0031341	['AGER', 'IL12RB1', 'NCR1', 'NCR3']
GO:0034103	['AGER', 'ITGB3', 'LTBP3', 'SLC4A2']
GO:0045785	['AGER', 'AIF1', 'ANXA1', 'CD27', 'DOCK5', 'DOCK8', 'FBXO38', 'FUT1', 'GP6', 'HHLA2', 'HLA-DMA', 'HLX', 'IL12RB1', 'IL4R', 'ITGB3', 'RAG1', 'RELL2', 'SELE', 'SELP', 'SIRPG', 'ST3GAL4', 'TEK', 'TNFSF14']
GO:0055082	['AGER', 'ANKRD9', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'CASR', 'CYBA', 'EGLN1', 'FUT1', 'GCKR', 'GHRHR', 'HFE', 'HKDC1', 'LACC1', 'MYC', 'PML', 'RYR3', 'SLC12A7', 'SLC24A1', 'SLC4A2', 'SLC8A2', 'TF', 'THADA', 'TMPRSS6', 'WNK1']
GO:1903555	['AGER', 'CYBA', 'IFIH1', 'LILRA4', 'LTF', 'MAVS', 'NOD1', 'PTPN22', 'TLR6', 'TSPO']
GO:0045321	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'C3', 'CCR6', 'CD27', 'CFB', 'DCAF12', 'DOCK8', 'EIF2AK4', 'EXO1', 'FBXO7', 'FCER2', 'FCRL5', 'FLT3', 'FLT3LG', 'HHEX', 'HLX', 'IFNK', 'IL12RB1', 'IL4R', 'MLH1', 'MYC', 'NCR1', 'NCR3', 'PRKDC', 'PTPN22', 'RAG1', 'SKAP2', 'SNCA', 'TLR6', 'TNFSF14', 'TRAF3IP2']
GO:1903039	['AGER', 'AIF1', 'ANXA1', 'CD27', 'DOCK8', 'FBXO38', 'HHLA2', 'HLA-DMA', 'HLX', 'IL12RB1', 'IL4R', 'RAG1', 'SELE', 'SELP', 'SIRPG', 'ST3GAL4', 'TNFSF14']
GO:1905204	['AGER']
GO:0002822	['AGER', 'ANXA1', 'ATAD5', 'C3', 'FBXO38', 'FCER2', 'HFE', 'HLX', 'IL12RB1', 'IL27', 'IL4R', 'MLH1']
GO:0042102	['AGER', 'HHLA2', 'IL12RB1']
GO:0007610	['AGER', 'BBS2', 'CASR', 'CWH43', 'DMRT3', 'DNAAF4', 'DNAH11', 'EHMT2', 'EIF2AK4', 'GIT1', 'GPRIN3', 'HTT', 'ITGA8', 'MC3R', 'MUSK', 'NAV2', 'OBP2B', 'OPRD1', 'OPRM1', 'RAG1', 'SDK1', 'SLC8A2', 'SNCA', 'THRA', 'TSPO', 'VLDLR']
GO:0046634	['AGER', 'ANXA1', 'HFE', 'HLX', 'IL12RB1', 'IL27', 'IL4R', 'SLC4A2']
GO:2000779	['AGER', 'BRD8', 'FOXM1', 'PARP1', 'PRKDC', 'RTEL1', 'SLF1', 'UBQLN4']
GO:1900271	['AGER', 'EIF2AK4']
GO:0001910	['AGER', 'IL12RB1', 'NCR1', 'NCR3']
GO:0002274	['AGER', 'AIF1', 'ANXA1', 'FCER2', 'SNCA', 'TLR6', 'TRAF3IP2']
GO:1901699	['AGER', 'AKAP7', 'BACE1', 'CASP7', 'CYBA', 'DENND4C', 'EHMT2', 'EZR', 'FAT1', 'FUT1', 'GHRHR', 'IFIH1', 'ITGB3', 'MAVS', 'NOD1', 'OPRM1', 'PARP1', 'PDE3A', 'PRKDC', 'PTPN22', 'RYR3', 'SESN1', 'SLIT2', 'STAT1', 'TBC1D4', 'TLR6', 'TRIM41']
GO:1904596	['AGER']
GO:1904645	['AGER', 'BACE1', 'PARP1', 'TLR6']
GO:0043408	['AGER', 'CASR', 'CD27', 'CDH2', 'EIF2AK2', 'EZR', 'FGF6', 'FGFR4', 'FLT3', 'FOXM1', 'IL34', 'ITGB3', 'MST1R', 'MYC', 'NOD1', 'OPRM1', 'PBK', 'PTPN22', 'RELL2', 'SEMA6A', 'SH3RF2', 'SPHK1', 'TAOK3', 'TEK', 'TLR6', 'ULK4', 'UNC5CL']
GO:0034114	['AGER', 'WNK1']
GO:0002696	['AGER', 'AIF1', 'ANXA1', 'ATAD5', 'BST1', 'CD27', 'DOCK8', 'FBXO38', 'FLT3LG', 'HHLA2', 'HLA-DMA', 'HLX', 'IL12RB1', 'IL4R', 'MLH1', 'MMP14', 'PRKDC', 'RAG1', 'SIRPG', 'TLR6', 'TNFSF14', 'ZNF335']
GO:0019725	['AGER', 'ANKRD9', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'CASR', 'CLCN6', 'CYBA', 'EGLN1', 'FUT1', 'GCKR', 'GHRHR', 'GIT1', 'HFE', 'HKDC1', 'LACC1', 'MYC', 'PML', 'RYR3', 'SLC12A7', 'SLC24A1', 'SLC4A2', 'SLC8A2', 'TF', 'THADA', 'TMPRSS6', 'WNK1']
GO:0002691	['AGER', 'SELE', 'SELP', 'ST3GAL4']
GO:0071322	['AGER', 'CASR', 'CYBA', 'FUT1', 'GHRHR', 'SLC12A7']
